University Name,State,Control,Male/Female ratio,Student/Faculty Ratio,SAT Verbal,SAT Maths,Fees Yearly,% aid,% admit,% enrolled,University Life,Academice rating, Social Rating,Quality of life ratio 
CORPUS-CHRISTI-STATE-U, TEXAS, SMALL-CITY,70 to 30,12 to 1,250,250,4- $,40,80,70,2.00,1,3,3
Morgan-state, Maryland, state,40 to 60,13 to 1,300,325,4- $,70,50,50,2.00,2,2,2
UNIVERSITY-OF-TEXAS, TEXAS, SMALL-CITY,50 to 50,15 to 1,300,300,4- $,40,60,60,4.00,3,5,5
EASTMAN-SCHOOL-OF-MUSIC, NEWYORK, URBAN,40 to 60,7 to 1,400,400,10+ $,40,15,70,4.00,3,4,4
SAM-HOUSTON-STATE-UNIVERSITY, TEXAS, SUBURBAN,50 to 50,30 to 1,400,400,4-7 $,30,80,70,2.00,2,2,2
WALLA-WALLA-COLLEGE, WASHINGTON, SMALL-TOWN,54 to 46,10 to 1,400,400,7-10 $,70,70,60,2.00,2,2,3
OREGON-INSTITUTE-OF-TECHNOLOGY, OREGON, SUBURBAN,3 to 1,14 to 1,404,443,4-7 $,15,80,60,2.00,3,2,2
NEWYORKIT, NEWYORK, SMALL-TOWN,55 to 45,20 to 1,410,470,4-7 $,75,80,50,2.00,2,3,2
AUGSBURG, MINNESOTA, SMALL-TOWN,13 to 10,10 to 1,420,490,4- $,80,85,50,3.00,1,3,4
LESLEY, MASSACHUSETTS, URBAN,20 to 80,9 to 1,420,400,4-7 $,40,70,50,3.00,2,3,4
Pratt, newyork, private,60 to 40,7 to 1,425,475,4-7 $,80,50,60,2.00,3,1,2
PRATT, NEWYORK, URBAN,60 to 40,7 to 1,425,475,4-7 $,80,50,60,2.00,3,1,2
SAN-JOSE-STATE, CALIFORNIA, URBAN,50 to 50,28 to 1,425,465,4- $,20,60,50,3.00,4,2,3
SETON-HALL, NEWJERSEY, SMALL-TOWN,50 to 50,28 to 1,430,452,4-7 $,60,65,45,3.00,3,3,2
UNIVERSITY-OF-BRIDGEPORT, CONNECTICUT, SMALL-CITY,53 to 47,20 to 1,432,488,10+ $,35,80,25,3.00,1,4,4
UNIVERSITY-OF-HARTFORD, CONNECTICUT, SUBURBAN,45 to 55,13 to 1,445,491,10+ $,40,75,35,3.00,3,3,3
Arizona-State, arizona, state,50 to 50,20 to 1,450,500,4-7 $,50,80,60,4.00,3,4,5
Illinois-Tech, illinois, state,90 to 10,25 to 1,450,575,4-7 $,65,50,60,2.00,3,1,3
New-Jersey-Tech, newjersey, state,90 to 10,25 to 1,450,575,4-7 $,65,50,60,2.00,3,1,3
University-of-San-Francisco, california, private,50 to 50,13 to 1,450,525,7-10 $,70,60,60,3.00,3,3,4
ARIZONA-STATE, ARIZONA, URBAN,50 to 50,20 to 1,450,500,4-7 $,50,80,60,4.00,3,4,5
BARUCH, NEWYORK, URBAN,50 to 50,15 to 1,450,400,4- $,80,60,50,3.00,3,2,3
HUNTINGTON-COLLEGE, INDIANA, SMALL-CITY,55 to 45,13 to 1,450,500,4-7 $,90,90,65,3.00,3,4,3
ILLINOIS-TECH, ILLINOIS, URBAN,90 to 10,25 to 1,450,575,4-7 $,65,50,60,2.00,3,1,3
MICHIGAN-STATE, MICHIGAN, URBAN,50 to 50,25 to 1,450,500,4- $,10,90,50,3.00,2,4,4
NEWJERSEY-TECH, NEWJERSEY, URBAN,90 to 10,25 to 1,450,575,4-7 $,65,50,60,2.00,3,1,3
OHIO-STATE, OHIO, URBAN,55 to 45,16 to 1,450,500,4-7 $,30,90,65,4.00,4,4,3
OREGON-STATE, OREGON, URBAN,60 to 40,12 to 1,450,675,4- $,40,90,85,3.00,3,3,3
QUEENS, NEWYORK, URBAN,40 to 60,18 to 1,450,450,4- $,50,70,50,3.00,4,3,3
SUNY-BUFFALO, NEWYORK, URBAN,60 to 40,14 to 1,450,525,4-7 $,50,90,30,3.00,4,2,2
UNIVERSITY-OF-SAN-FRANCISCO, CALIFORNIA, URBAN,50 to 50,13 to 1,450,525,7-10 $,70,60,60,3.00,3,3,4
UNIVERSITY-OF-TOLEDO, OHIO, URBAN,50 to 50,20 to 1,450,450,4- $,75,95,70,2.00,1,2,2
YANKTOWN-COLLEGE, SOUTHDAKOTA, SUBURBAN,70 to 30,10 to 1,450,400,4-7 $,95,95,90,2.00,1,2,2
UNIVERSITY-OF-EVANSVILLE, INDIANA, SMALL-CITY,40 to 60,15 to 1,458,516,10+ $,55,80,50,4.00,3,5,4
ORAL-ROBERTS-UNIVERSITY, OKLAHOMA, SUBURBAN,1 to 1,11 to 1,463,490,4- $,70,65,75,3.00,4,2,3
NORTHCAROLINA-STATE-UNIVERSITY, NORTHCAROLINA, URBAN,9 to 4,14 to 1,466,538,4-7 $,60,70,40,3.00,2,3,3
ST-JOHNS-U, NEWYORK, URBAN,10 to 6,18 to 1,468,508,4-7 $,75,75,35,2.00,2,3,2
UNIVERSITY-OF-MARYLAND, MARYLAND, SUBURBAN,55 to 45,16 to 1,468,529,4- $,50,60,50,3.00,3,3,3
OKLAHOMA-STATE-UNIVERSITY, OKLAHOMA, SMALL-TOWN,60 to 40,20 to 1,470,470,7-10 $,50,80,40,4.00,4,3,4
UNIVERSITY-OF-ALABAMA, ALABAMA, SMALL-CITY,51 to 49,17 to 1,470,535,4- $,50,70,50,3.00,2,4,4
UNIVERSITY-OF-TULSA, OKLAHOMA, URBAN,3 to 2,16 to 1,471,520,4- $,75,85,65,4.00,4,4,4
UNIVERSITY-OF-LOWELL, MASSACHUSETTS, URBAN,60 to 40,16 to 1,472,535,4-7 $,65,60,30,3.00,3,3,3
Temple, pennsylvania, state,50 to 50,11 to 1,475,500,4-7 $,60,70,60,2.00,2,2,2
Texas-A&M, texas, state,60 to 40,12 to 1,475,550,4- $,20,80,70,3.00,3,3,3
USC, california, private,60 to 40,18 to 1,475,525,10+ $,60,70,50,4.00,4,4,3
PURDUE, INDIANA, SUBURBAN,58 to 42,12 to 1,475,525,4- $,50,80,50,3.00,3,3,3
TEMPLE, PENNSYLVANIA, URBAN,50 to 50,11 to 1,475,500,4-7 $,60,70,60,2.00,2,2,2
TEXAS-A&M, TEXAS, SMALL-CITY,60 to 40,12 to 1,475,550,4- $,20,80,70,3.00,3,3,3
UNIVERSITY-OF-MASSACHUSETTS-AMHERST, MASSACHUSETTS, SMALL-TOWN,50 to 50,18 to 1,475,525,4-7 $,40,70,45,4.00,3,5,4
UNIVERSITY-OF-OREGON, OREGON, URBAN,51 to 49,19 to 1,475,515,4- $,30,80,70,4.00,3,4,4
USC, CALIFORNIA, URBAN,60 to 40,18 to 1,475,525,10+ $,60,70,50,4.00,4,4,3
WILLIAM-PATERSON-COLLEGE, NEWJERSEY, SUBURBAN,1 to 1,1 to 1,475,500,4- $,40,50,50,3.00,3,3,3
AUBURN, ALABAMA, SMALL-TOWN,11 to 9,18 to 1,480,545,4- $,50,90,60,3.00,2,4,4
UNIVERSITY-OF-KANSAS, KANSAS, SMALL-TOWN,55 to 45,16 to 1,480,460,7-10 $,50,80,50,4.00,4,3,5
BAYLOR-UNIVERSITY, TEXAS, URBAN,45 to 559,21 to 1,485,521,4-7 $,65,65,75,4.00,4,4,3
UNIVERSITY-OF-GEORGIA, GEORGIA, SMALL-TOWN,1 to 1,20 to 1,490,530,4- $,40,70,50,4.00,2,4,5
UNIVERSITY-OF-MINNESOTA, MINNESOTA, URBAN,55 to 45,16 to 1,490,557,4- $,50,80,60,4.00,4,3,4
UNIVERSITY-OF-MISSOURI, MISSOURI, URBAN,50 to 50,11 to 1,494,529,4-7 $,30,65,65,3.00,2,3,3
Adelphi, newyork, private,30 to 70,15 to 1,500,475,7-10 $,60,70,40,2.00,2,2,2
Boston-College, massachusetts, private,40 to 60,20 to 1,500,550,10+ $,60,50,40,4.00,4,5,3
Florida-Tech, florida, private,80 to 20,20 to 1,500,550,4-7 $,60,60,50,3.00,3,3,3
Florida-state, florida, state,45 to 55,20 to 1,500,525,4-7 $,40,60,50,3.00,3,3,3
Hofstra, newyork,50 to 50,50 to 60,30 to 4,500,525,7-10 $,80,70,50,2.00,2,2,2
Stevens, newjersey, private,80 to 20,13 to 1,500,625,7-10 $,65,60,40,3.00,3,2,4
University-of-California-Davis, california, state,50 to 50,15 to 1,500,550,4-7 $,40,70,70,4.00,4,3,4
UCLA, california, state,50 to 50,11 to 1,500,550,4-7 $,50,80,70,3.00,4,3,3
University-of-Maine, Maine, public,55 to 45,15 to 1,500,500,4-7 $,70,90,50,3.00,2,4,3
ADELPHI, NEWYORK, SUBURBAN,30 to 70,15 to 1,500,475,7-10 $,60,70,40,2.00,2,2,2
BOSTON-COLLEGE, MASSACHUSETTS, SUBURBAN,40 to 60,20 to 1,500,550,10+ $,60,50,40,4.00,4,5,3
BUTLER, INDIANA, URBAN,40 to 60,15 to 1,500,530,7-10 $,75,80,40,3.00,3,3,3
FLORIDA-STATE, FLORIDA, SMALL-CITY,45 to 55,20 to 1,500,525,4-7 $,40,60,50,3.00,3,3,3
FLORIDA-TECH, FLORIDA, SMALL-CITY,80 to 20,20 to 1,500,550,4-7 $,60,60,50,3.00,3,3,3
GOLDEN-GATE-COLLEGE, CALIFORNIA, URBAN,3 to 10,20 to 1,500,500,4- $,25,100,50,1.00,2,1,1
MANHATTANVILLE-COLLEGE, NEWYORK, SUBURBAN,30 to 70,11 to 1,500,530,10+ $,60,60,40,4.00,4,3,4
MARIST-COLLEGE, NEWYORK, SUBURBAN,50 to 50,18 to 1,500,500,7-10 $,85,40,60,3.00,3,3,3
MONMOUTH-COLLEGE, NEWJERSEY, SUBURBAN,48 to 52,15 to 1,500,550,7-10 $,60,80,40,3.00,3,3,4
STEVENS, NEWJERSEY, URBAN,80 to 20,13 to 1,500,625,7-10 $,65,60,40,3.00,3,2,4
SUFFOLK-COMMUNITY-COLLEGE, NEWYORK, SMALL-TOWN,1 to 100,25 to 1,500,500,4-7 $,15,80,95,4.00,4,3,4
SUNY-STONY-BROOK, NEWYORK, SUBURBAN,55 to 45,15 to 1,500,575,4- $,75,70,30,3.00,4,3,2
UCLA, CALIFORNIA, URBAN,50 to 50,11 to 1,500,550,4-7 $,50,80,70,3.00,4,3,3
UNIVERSITY-OF-CALIFORNIA-DAVIS, CALIFORNIA, SMALL-CITY,50 to 50,15 to 1,500,550,4-7 $,40,70,70,4.00,4,3,4
UNIVERSITY-OF-COLORADO, COLORADO, SMALL-CITY,60 to 40,16 to 1,500,550,7-10 $,60,70,60,4.00,3,5,5
UNIVERSITY-OF-MAINE, MAINE, SMALL-TOWN,55 to 45,15 to 1,500,500,4-7 $,70,90,50,3.00,2,4,3
UNIVERSITY-OF-PORTLAND, OREGON, SMALL-CITY,1 to 1,15 to 1,500,480,7-10 $,30,90,50,3.00,3,3,2
UNIVERSITY-OF-THE-DISTRICT-OF-COLUMBIA, DISTRICT-OF-COLUMBIA, URBAN,44 to 56,14 to 1,500,510,4- $,30,95,80,2.00,2,2,2
FLORIDA-ACADEMIC-UNIVERSITY, FLORIDA, URBAN,2 to 1,20 to 1,510,500,4- $,70,80,60,4.00,2,5,4
UNIVERSITY-OF-DENVER, COLORADO, SUBURBAN,70 to 30,14 to 1,510,540,4-7 $,50,70,50,3.00,3,3,3
UNIVERSITY-OF-NORTHCAROLINA, NORTHCAROLINA, SMALL-CITY,3 to 4,14 to 1,510,552,4-7 $,80,75,55,4.00,3,4,4
UNIVERSITY-OF-PUGET-SOUND, WASHINGTON, URBAN,50 to 50,11 to 1,510,549,4-7 $,70,80,40,3.00,3,4,2
TEXAS-CHRISTIAN-UNIVERSITY, TEXAS, SMALL-CITY,50 to 50,15 to 1,515,515,7-10 $,60,70,80,3.00,3,3,4
TOURO, NEWYORK, URBAN,40 to 60,15 to 1,520,490,4-7 $,90,60,30,3.00,3,2,4
Georgia-Tech, georgia, state,80 to 20,20 to 1,525,625,4-7 $,20,60,50,3.00,4,2,2
Rochester-Tech, newyork, private,65 to 35,14 to 1,525,575,7-10 $,60,70,50,3.00,3,3,3
University-of-California-Santa-Cruz, california, state,50 to 50,18 to 1,525,550,4-7 $,65,70,60,4.00,4,3,5
FORDHAM, NEWYORK, URBAN,55 to 45,17 to 1,525,540,4-7 $,70,60,45,3.00,3,3,3
GEORGIA-TECH, GEORGIA, URBAN,80 to 20,20 to 1,525,625,4-7 $,20,60,50,3.00,4,2,2
ROCHESTER-TECH, NEWYORK, SUBURBAN,65 to 35,14 to 1,525,575,7-10 $,60,70,50,3.00,3,3,3
SUNY-ALBANY, NEWYORK, SUBURBAN,50 to 50,19 to 1,525,575,4-7 $,80,60,30,3.00,4,3,3
SUNY-PURCHASE, NEWYORK, SUBURBAN,35 to 65,17 to 1,525,525,4-7 $,5,40,40,3.00,3,3,3
UNIVERSITY-OF-CALIFORNIA-SANTA-CRUZ, CALIFORNIA, SUBURBAN,50 to 50,18 to 1,525,550,4-7 $,65,70,60,4.00,4,3,5
UNIVERSITY-OF-WASHINGTON, WASHINGTON, URBAN,50 to 50,15 to 1,525,575,4-7 $,35,65,60,3.00,4,3,3
University-of-California-Berkely, california, state,55 to 45,11 to 1,530,600,4-7 $,50,70,70,4.00,5,3,3
GEORGE-WASHINGTON, DISTRICT-OF-COLUMBIA, URBAN,50 to 50,14 to 1,530,560,10+ $,45,75,30,3.00,3,4,3
LEWIS-AND-CLARK, OREGON, SMALL-CITY,50 to 50,12 to 1,530,550,7-10 $,40,70,40,3.00,3,2,4
UNIVERSITY-OF-CALIFORNIA-BERKELEY, CALIFORNIA, URBAN,55 to 45,11 to 1,530,600,4-7 $,50,70,80,4.00,5,3,3
CLARKSON-UNIVERSITY, NEWYORK, SMALL-CITY,80 to 20,20 to 1,535,640,10+ $,80,70,30,3.00,3,3,4
DREW, NEWJERSEY, SUBURBAN,52 to 48,15 to 1,535,553,7-10 $,50,70,30,3.00,3,3,3
SYRACUSE, NEWYORK, SMALL-CITY,50 to 50,14 to 1,535,560,10+ $,60,60,40,4.00,4,4,4
DEPAUL-UNIVERSITY, ILLINOIS, URBAN,50 to 50,16 TO 1,540,540,4- $,55,75,50,3.00,2,3,3
UNIVERSITY-OF-MICHIGAN, MICHIGAN, SUBURBAN,10 to 8,15 to 1,540,600,4-7 $,60,60,50,3.00,4,2,3
Boston-University, massachusetts, private,45 to 55,12 to 1,550,575,10+ $,60,60,40,4.00,4,4,3
Case-Western, ohio, private,70 to 30,9 to 1,550,650,10+ $,65,85,35,3.00,3,2,3
CCNY, newyork, city,60 to 40,15 to 1,550,575,4- $,80,80,60,2.00,3,2,2
NYU, newyork, private,50 to 50,7 to 1,550,575,10+ $,50,50,60,3.00,4,3,3
University-of-California-San-Diego, california, state,55 to 45,15 to 1,550,600,4-7 $,25,80,65,4.00,4,4,4
Worcester, Massachusetts, private,80 to 20,12 to 1,550,650,10+ $,70,50,50,4.00,4,3,4
BOSTON-UNIVERSITY, MASSACHUSETTS, URBAN,45 to 55,12 to 1,550,575,10+ $,60,60,40,4.00,4,4,3
CASE-WESTERN, OHIO, URBAN,70 to 30,9 to 1,550,650,10+ $,65,85,35,3.00,3,2,3
CLARK-UNIVERSITY, MASSACHUSETTS, SMALL-CITY,50 to 50,13 to 1,550,576,10+ $,50,60,35,3.00,4,3,3
COLORADO-SCHOOL-OF-MINES, COLORADO, SUBURBAN,80 to 20,18 to 1,550,600,4- $,50,60,50,3.00,3,3,3
CONNECTICUT-COLLEGE, CONNECTICUT, SMALL-CITY,35 to 65,10 to 1,550,575,10+ $,30,40,40,4.00,4,3,4
EMORY, GEORGIA, SUBURBAN,50 to 50,8 to 1,550,600,7-10 $,60,60,30,4.00,4,4,4
HAMPSHIRE-COLLEGE, MASSACHUSETTS, SMALL-TOWN,60 to 65,15 to 1,550,540,7-10 $,20,75,40,4.00,3,5,5
LEHIGH-UNIVERSITY, PENNSYLVANIA, SMALL-CITY,75 to 25,10 to 1,550,650,7-10 $,45,50,40,3.00,4,4,2
NYU, NEWYORK, URBAN,50 to 50,7 to 1,550,575,10+ $,50,50,60,3.00,4,3,3
OBERLIN, OHIO, SUBURBAN,50 to 50,12 TO 1,550,550,7-10 $,50,70,30,3.00,3,3,2
RUTGERS, NEWJERSEY, SMALL-TOWN,47 to 53,16 to 1,550,600,4-7 $,40,50,30,3.00,4,3,3
UNIVERSITY-OF-CALIFORNIA-SAN-DIEGO, CALIFORNIA, SUBURBAN,55 to 45,15 to 1,550,600,4-7 $,25,80,65,4.00,4,4,4
UNIVERSITY-OF-PITTSBURGH, PENNSYLVANIA, URBAN,40 to 60,100 to 1,550,550,4- $,50,70,30,4.00,3,5,4
UNIVERSITY-OF-ROCHESTER, NEWYORK, URBAN,60 to 40,10 to 1,550,550,10+ $,70,80,30,3.00,4,3,3
UNIVERSITY-OF-THE-SOUTH, TENNESSEE, SUBURBAN,60 to 40,10 to 1,550,600,4-7 $,50,60,30,4.00,4,3,4
VANDERBILT, TENNESSEE, URBAN,1 to 1,7 to 1,550,600,7-10 $,35,60,25,4.00,4,3,4
WASHINGTON-AND-LEE, VIRGINIA, SMALL-TOWN,1 to 0,10 to 1,550,595,7-10 $,30,60,30,3.00,4,3,3
WORCESTER, MASSACHUSETTS, URBAN,80 to 20,12 to 1,550,650,10+ $,70,50,50,4.00,4,3,4
TULANE, LOUISIANA, URBAN,60 to 40,11 to 1,552,594,4-7 $,30,80,30,4.00,3,5,4
BARD, NEWYORK, SMALL-TOWN,45 to 55,9 to 1,560,520,10+ $,80,70,30,4.00,3,4,4
TRINITY-COLLEGE, CONNECTICUT,URBAN,51 to 49,9 to 1,560,600,10+ $,85,45,35,4.00,4,3,4
UNIVERSITY-OF-THE-PACIFIC, CALIFORNIA, URBAN,48 to 52,17 to 1,560,550,10+ $,65,80,40,4.00,3,4,4
University-of-Montana, montana, state,65 to 35,21 to 1,570,550,4-7 $,65,90,60,3.00,3,2,4
NOTRE-DAME, INDIANA, URBAN,5 to 2,12 to 1,570,640,4-7 $,50,35,60,4.00,5,3,3
Rensselaer, Newyork, private,80 to 20,11 to 1,575,700,10+ $,60,50,30,3.00,4,3,3
RENSSELAER, NEWYORK, SMALL-CITY,80 to 20,11 to 1,575,700,10+ $,60,50,30,3.00,4,3,3
SUNY-BINGHAMTON, NEWYORK, SUBURBAN,45 to 55,15 to 1,575,525,4- $,80,50,30,3.00,4,3,2
BRANDEIS, MASSACHUSETTS, SUBURBAN,48 to 52,10 to 1,580,630,10+ $,40,60,45,4.00,4,3,4
UNIVERSITY-OF-VIRGINIA, VIRGINIA, SMALL-CITY,50 to 50,10 to 1,585,625,4-7 $,30,40,20,4.00,4,4,4
NEWENGLAND-COLLEGE, NEWHAMPSHIRE, SMALL-TOWN,50 to 1,13 to 1,590,590,10+ $,40,50,95,4.00,4,3,4
NORTHWESTERN, ILLINOIS, SMALL-CITY,50 to 50,9 to 1,590,630,10+ $,65,45,45,3.00,4,3,3
Carnegie-Mellon, Pennsylvania, private,60 to 40,10 to 1,600,650,10+ $,70,40,50,3.00,4,3,3
Cornell, newyork, private,55 to 45,7 to 1,600,650,10+ $,50,30,50,3.00,5,3,2
University-of-Oklahoma, Oklahoma, state,60 to 40,20 to 1,600,610,4- $,30,90,70,3.00,3,3,3
University-of-Penn, pennsylvania, private,60 to 40,10 to 1,600,650,10+ $,60,40,50,4.00,5,4,3
BRYN-MAWR0, PENNSYLVANIA, SMALL-TOWN,0 to 100,8 to 1,600,600,10+ $,70,60,50,4.00,5,4,4
BUCKNELL, PENNSYLVANIA, SMALL-TOWN,60 to 40,8 to 1,600,500,7-10 $,75,35,15,3.00,4,3,3
CARNEGIE-MELLON, PENNSYLVANIA, URBAN,60 to 40,10 to 1,600,650,10+ $,70,40,50,3.00,4,3,3
COLLEGE-OF-NEWROCHELLE, NEWYORK, SMALL-TOWN,0 to 100,15 to 1,600,600,4-7 $,80,70,40,2.00,2,2,3
COLORADO-COLLEGE, COLORADO, URBAN,1 to 9,14 to 1,600,600,7-10 $,40,30,0,3.00,3,3,4
CORNELL, NEWYORK, SMALL-CITY,55 to 45,7 to 1,600,650,10+ $,50,30,50,3.00,5,3,2
POLYTECHNIC-INSTITUTE-OF-NEWYORK, NEWYORK, URBAN,87 to 13,8 to 1,600,600,10+ $,80,75,45,2.00,3,2,2
SUNY-PLATTSBURGH, NEWYORK, SMALL-TOWN,2 to 3,14 to 1,600,600,7-10 $,60,40,20,4.00,3,4,4
TUFTS, MASSACHUSETTS, SUBURBAN,50 to 50,14 to 1,600,600,10+ $,45,35,35,3.00,4,3,3
UNIVERSITY-OF-NOTRE-DAME, INDIANA, URBAN,70 to 30,11 to 1,600,600,7-10 $,50,50,60,4.00,4,4,4
UNIVERSITY-OF-PENNSYLVANIA, PENNSYLVANIA, URBAN,60 to 40,10 to 1,600,650,10+ $,60,40,50,4.00,5,4,3
VASSAR, NEWYORK, SMALL-TOWN,40 to 60,5 to 1,600,600,10+ $,50,50,40,4.00,5,4,4
MOUNT-HOLYOKE, MASSACHUSETTS, SMALL-CITY,0 to 100,8 to 1,610,590,7-10 $,60,50,50,4.00,4,3,4
SMITH, MASSACHUSETTS, SUBURBAN,1 to 100,10 to 1,610,600,7-10 $,30,50,20,4.00,4,3,4
GEORGETOWN, DISTRICT-OF-COLUMBIA, URBAN,56 to 44,13 to 1,616,645,10+ $,50,30,50,4.00,5,3,4
UNIVERSITY-OF-CHICAGO, ILLINOIS, URBAN,5 to 1,8 to 1,617,639,7-10 $,60,70,25,4.00,5,4,4
PENN-STATE, PENNSYLVANIA, URBAN,60 to 40,10 to 13,620,680,10+ $,60,40,50,4.00,5,4,4
SWARTHMORE, PENNSYLVANIA, SUBURBAN,56 to 44,10 to 1,620,660,10+ $,50,50,40,4.00,5,3,4
RICE, TEXAS, SUBURBAN,2 to 1,9 to 1,621,671,4-7 $,80,35,55,3.00,5,2,3
Brown, rhodeisland, private,50 to 50,11 to 1,625,650,10+ $,40,20,50,5.00,5,4,5
Columbia, newyork, private,70 to 30,9 to 1,625,650,10+ $,60,30,50,4.00,5,3,3
Dartmouth, newhampshire, private,60 to 40,7 to 1,625,650,10+ $,40,20,60,4.00,5,5,3
Johns-Hopkins, maryland, private,70 to 30,10 to 1,625,675,10+ $,70,50,40,4.00,5,3,3
Stanford, california, private,55 to 45,10 to 1,625,675,10+ $,45,20,70,5.00,5,4,5
BROWN, RHODEISLAND, URBAN,50 to 50,11 to 1,625,650,10+ $,40,20,50,5.00,5,4,5
COLUMBIA, NEWYORK, URBAN,70 to 30,9 to 1,625,650,10+ $,60,30,50,4.00,5,3,3
DARTMOUTH, NEWHAMPSHIRE, SMALL-TOWN,60 to 40,7 to 1,625,650,10+ $,40,20,60,4.00,5,5,3
JOHNS-HOPKINS, MARYLAND, URBAN,70 to 30,10 to 1,625,675,10+ $,70,50,40,4.00,5,3,3
REED, OREGON, SUBURBAN,60 to 40,10 to 1,625,625,10+ $,40,80,40,4.00,4,3,4
STANFORD, CALIFORNIA, SUBURBAN,55 to 45,10 to 1,625,675,10+ $,45,20,70,5.00,5,4,5
Cooper-Union, newyork, private,70 to 30,6 to 1,630,670,4- $,35,20,65,2.00,3,1,3
BARNARD, NEWYORK, URBAN,0 to 100,8 to 1,630,610,10+ $,60,60,20,4.00,4,3,4
WESLEYAN, CONNECTICUT, SMALL-TOWN,50 to 50,9 to 1,635,660,10+ $,60,35,40,4.00,5,4,4
Cal-Tech, california, private,70 to 30,10 to 1,650,780,10+ $,70,15,90,3.00,5,1,3
MIT, massachusetts, private,75 to 25,5 to 1,650,750,10+ $,50,30,60,4.00,5,3,3
Princeton, newjersey, private,65 to 35,7 to 1,650,675,10+ $,50,20,60,4.00,5,3,3
CAL-TECH, CALIFORNIA, SUBURBAN,70 to 30,10 to 1,650,780,10+ $,70,20,90,3.00,5,1,3
MIT, MASSACHUSETTS, URBAN,75 to 25,5 to 1,650,750,10+ $,50,30,60,4.00,5,3,3
PRINCETON, NEWJERSEY, SMALL-TOWN,65 to 35,7 to 1,650,675,10+ $,50,20,60,4.00,5,3,3
Colgate, newyork, private,55 to 45,13 to 1,660,690,10+ $,60,40,40,3.00,4,3,3
Yale, connecticut, private,55 to 45,5 to 1,675,675,10+ $,40,20,60,4.00,5,3,4
NORTHEASTERN, MASSACHUSETTS, URBAN,2 to 1,22 to 1,675,720,4-7 $,55,80,100,3.00,3,2,3
YALE, CONNECTICUT, SMALL-CITY,55 to 45,5 to 1,675,675,10+ $,40,20,60,4.00,5,3,4
Harvard, massachusetts, private,65 to 35,10 to 1,700,675,10+ $,60,20,80,4.00,5,3,4
HARVARD, MASSACHUSETTS, URBAN,65 to 35,10 to 1,700,675,10+ $,60,20,80,4.00,5,3,4
ABILENE-CHRISTIAN-UNIVERSITY, TEXAS, SUBURBAN,50 to 50,21 to 1,520,533,4- $,70,90,80,3.00,2,3,3
